# z kT fraction_observed
6.500000000000000222e-01 6.500000000000000000e+00 7.851486024935208086e-01
8.000000000000000444e-01 6.500000000000000000e+00 7.576981808650095074e-01
9.000000000000000222e-01 6.500000000000000000e+00 7.426462765779572317e-01
1.000000000000000000e+00 6.500000000000000000e+00 7.290913554266452712e-01
1.100000000000000089e+00 6.500000000000000000e+00 7.174857875494798920e-01
1.199999999999999956e+00 6.500000000000000000e+00 7.075174970796828111e-01
1.399999999999999911e+00 6.500000000000000000e+00 6.933263984761763865e-01
1.600000000000000089e+00 6.500000000000000000e+00 6.795643436910738799e-01
0.000000000000000000e+00 7.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 7.000000000000000000e+00 9.716591313512965566e-01
1.000000000000000056e-01 7.000000000000000000e+00 9.478135774380703760e-01
1.500000000000000222e-01 7.000000000000000000e+00 9.255736924669915044e-01
2.000000000000000111e-01 7.000000000000000000e+00 9.047008532909542877e-01
2.500000000000000000e-01 7.000000000000000000e+00 8.859712860880601948e-01
3.000000000000000444e-01 7.000000000000000000e+00 8.688892578458975446e-01
3.500000000000000333e-01 7.000000000000000000e+00 8.531668111652065400e-01
4.000000000000000222e-01 7.000000000000000000e+00 8.381643120987377626e-01
4.500000000000000111e-01 7.000000000000000000e+00 8.240728991546883986e-01
5.000000000000000000e-01 7.000000000000000000e+00 8.109517660629599334e-01
5.500000000000000444e-01 7.000000000000000000e+00 7.992051350240418905e-01
6.000000000000000888e-01 7.000000000000000000e+00 7.879722113233795788e-01
6.500000000000000222e-01 7.000000000000000000e+00 7.775289123283215531e-01
8.000000000000000444e-01 7.000000000000000000e+00 7.487317711918723973e-01
9.000000000000000222e-01 7.000000000000000000e+00 7.328204456495679420e-01
1.000000000000000000e+00 7.000000000000000000e+00 7.185408302747174902e-01
1.100000000000000089e+00 7.000000000000000000e+00 7.060431897772955212e-01
1.199999999999999956e+00 7.000000000000000000e+00 6.951322954607280780e-01
1.399999999999999911e+00 7.000000000000000000e+00 6.787004726693021128e-01
1.600000000000000089e+00 7.000000000000000000e+00 6.634632470392480830e-01
0.000000000000000000e+00 7.500000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 7.500000000000000000e+00 9.710668584629754685e-01
1.000000000000000056e-01 7.500000000000000000e+00 9.466585190754068790e-01
1.500000000000000222e-01 7.500000000000000000e+00 9.239736224978366552e-01
2.000000000000000111e-01 7.500000000000000000e+00 9.026212754178490894e-01
2.500000000000000000e-01 7.500000000000000000e+00 8.833686110935228264e-01
3.000000000000000444e-01 7.500000000000000000e+00 8.657454795382810708e-01
3.500000000000000333e-01 7.500000000000000000e+00 8.496172462765110289e-01
4.000000000000000222e-01 7.500000000000000000e+00 8.343086814398322781e-01
4.500000000000000111e-01 7.500000000000000000e+00 8.198637817200962186e-01
5.000000000000000000e-01 7.500000000000000000e+00 8.063355339924168641e-01
5.500000000000000444e-01 7.500000000000000000e+00 7.941275768889959341e-01
6.000000000000000888e-01 7.500000000000000000e+00 7.825002090330581694e-01
6.500000000000000222e-01 7.500000000000000000e+00 7.717558020407652153e-01
8.000000000000000444e-01 7.500000000000000000e+00 7.421473337913250257e-01
9.000000000000000222e-01 7.500000000000000000e+00 7.254801967174818733e-01
1.000000000000000000e+00 7.500000000000000000e+00 7.106429231696972382e-01
1.100000000000000089e+00 7.500000000000000000e+00 6.976180193519595507e-01
1.199999999999999956e+00 7.500000000000000000e+00 6.860544543700469733e-01
1.399999999999999911e+00 7.500000000000000000e+00 6.680117368353077900e-01
1.600000000000000089e+00 7.500000000000000000e+00 6.517621551297156923e-01
0.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000278e-02 1.000000000000000000e+01 9.687733861712994887e-01
1.000000000000000056e-01 1.000000000000000000e+01 9.418340899635586627e-01
1.500000000000000222e-01 1.000000000000000000e+01 9.172589380474680532e-01
2.000000000000000111e-01 1.000000000000000000e+01 8.940862573017688275e-01
2.500000000000000000e-01 1.000000000000000000e+01 8.728109361785434395e-01
3.000000000000000444e-01 1.000000000000000000e+01 8.530632684014473055e-01
3.500000000000000333e-01 1.000000000000000000e+01 8.350214575669862027e-01
4.000000000000000222e-01 1.000000000000000000e+01 8.182765580732699329e-01
4.500000000000000111e-01 1.000000000000000000e+01 8.025430426791432259e-01
5.000000000000000000e-01 1.000000000000000000e+01 7.875244723024389382e-01
5.500000000000000444e-01 1.000000000000000000e+01 7.736097325607513842e-01
6.000000000000000888e-01 1.000000000000000000e+01 7.604216017722572607e-01
6.500000000000000222e-01 1.000000000000000000e+01 7.482538548562439606e-01
8.000000000000000444e-01 1.000000000000000000e+01 7.155177563607754143e-01
9.000000000000000222e-01 1.000000000000000000e+01 6.962280648194240085e-01
1.000000000000000000e+00 1.000000000000000000e+01 6.790025265644539232e-01
